original,original_label,perturbation_type,domain_fusion,lexical,temporal
"On May 15, 2024, a crackdown on a pro-Palestine encampment at University of California, Irvine resulted in an occupation of the UC Irvine Science Building by the protesters. UCI police put out a mutual aid call and received a response from at least 16 law enforcement agencies from around Orange County. Hundreds of officers responded and forty-seven protesters, including students, UCI employees and others",0,PNM,"On May 15, 2024, a crackdown on a pro-Palestine encampment at University of California, Irvine resulted in a richly layered occupation of the UC Irvine Science Building by the protesters, with UCI police whipping up a mutual aid call and receiving a response from at least 16 law enforcement agencies from around Orange County, much like a master chef combining ingredients from various kitchens, and hundreds of officers responded, ultimately serving up forty-seven protesters, including students, UCI employees and others.","Ön Mäy 15, 2024, ä cräckdöwn ön ä prö-Pälëstïne êncämpmënt ät Ünïvërsïty ôf Cälïfôrnïä, Îrvïne rësültëd în än ôccüpätïôn ôf thë UC Îrvïne Scïënce Bûïldïng by thë prötëstërs. UCÎ pôlïcë pût ôüt ä mütüäl äïd cäll änd rëcëïvëd ä rëspônsë frôm ät lëäst 16 läw ênförçëmënt ägëncïës frôm ärôünd Ôrânge Côünty. Hündrëds ôf ôfficërs rëspôndëd änd förtÿ-sëvën prötëstërs, înclüdïng stüdënts, UCÎ êmplöyëës änd ôthërs.","In the spring of a bygone year, a notable disturbance befell the University of California, Irvine, when a pro-Palestine encampment was forcibly dispersed, prompting an impromptu occupation of the Science Building by the agitators, whereupon the UCI constabulary issued a mutual aid call, garnering a response from no fewer than 16 law enforcement agencies from the surrounding Orange County, resulting in a substantial deployment of officers, culminating in the detention of 47 protesters, comprising students, university personnel, and sundry others."
"The 2024 NCAA Division I Men's Ice Hockey Tournament was the national championship tournament for men's college ice hockey in the United States held from March 28-April 13, 2024. The tournament involved 16 teams in single-elimination play to determine the national champion at the Division I level of the National Collegiate Athletic Association (NCAA), the highest level of competition in college hockey. The tournament's",0,PNM,"The 2024 NCAA Division I Men's Ice Hockey Tournament was the decadent dessert of national championships for men's college ice hockey in the United States, carefully crafted from March 28-April 13, 2024, with 16 teams as the essential ingredients in single-elimination play, blending together to determine the national champion at the Division I level of the National Collegiate Athletic Association (NCAA), the richest flavor of competition in college hockey.","The 2024 NäCAÄ Division I Men's Ïce Hockey Tournament wäs the nationäl championship tournament for men's colleÄŸe ïce hockey in the Ünited States held from Märch 28-April 13, 2024. The tournäment involved 16 teäms in single-eliminätion play to determinë the nationäl champion at the Division I level of the Nätionäl Collegiäte Athlëtic Ässociätion (NCAA), the höghest level of compétition in colleÄŸe hockëy. The tournäment's.","In the annals of collegiate hockey, a most momentous occasion transpired in the spring of 2024, when the NCAA Division I Men's Ice Hockey Tournament took place, featuring 16 stalwart teams vying for the national championship in a thrilling single-elimination contest, thereby crowning the supreme victor at the highest echelon of competition within the esteemed National Collegiate Athletic Association."
"The 2024 College Basketball Invitational (CBI) was a single-elimination, fully-bracketed men's college basketball postseason tournament featuring 15 National Collegiate Athletic Association (NCAA) Division I teams not selected to participate in the NCAA Division I men's basketball tournament or the National Invitation Tournament (NIT). The 16th edition of the tournament began on March 23 and concluded March 27. All games were played at Ocean Center",0,PNM,"The 2024 College Basketball Invitational (CBI) was a masterfully layered postseason tournament, featuring a rich blend of 15 National Collegiate Athletic Association (NCAA) Division I teams not selected to participate in the NCAA Division I men's basketball tournament or the National Invitation Tournament (NIT), which began to simmer on March 23 and reached its flavorful conclusion on March 27, with all games expertly plated at Ocean Center.","Thë 2024 Collëge Baskëtball Invitational (CBI) was a single-ëlimination, fully-brackëtëd men's collëge baskëtball post sæson tournament featurïng 15 Natiõnal Collëgiate Athlëtic Associatiõn (NCAA) Divisiõn I teams not selectëd to participatë in the NCAA Divisiõn I men's baskëtball tournament or the Natiõnal Invitatïõn Tournament (NIT). Thë 16th ëdition of thë tournament began on Märch 23 and conclüdëd Märch 27. All gamës were playëd at Océan Centër.","In the spring of that memorable year, the 16th iteration of the College Basketball Invitational (CBI) tournament took place, a single-elimination, fully-bracketed postseason spectacle featuring 15 National Collegiate Athletic Association (NCAA) Division I teams that had not been afforded the opportunity to participate in the NCAA Division I men's basketball tournament or the National Invitation Tournament (NIT). This esteemed competition, which transpired from March 23 to March 27, was hosted in its entirety at the venerable Ocean Center."
"The D Chowk Dharna was a series of protests that took place at D-Chowk, Islamabad, Pakistan, organized by the Save Gaza Campaign. The protests were held in response to the ongoing conflict in Gaza, with participants demanding decisive action from the Pakistani government and the international community. On the 27th day of the sit-in to express love for Palestine and Gaza, D Chowk was",0,PNM,"The richly layered protest movement, like a decadent pastry, was a series of demonstrations that unfolded at D-Chowk, Islamabad, Pakistan, orchestrated by the Save Gaza Campaign, with activists blending their voices to demand a recipe for decisive action from the Pakistani government and the international community, much like a master chef combining ingredients to create a dish that would savor the love for Palestine and Gaza.","Thë D Čhöwk Dhärnä wäs ä seriës of prötests thät töök pläce ät D-Čhöwk, Īslämâbâd, Pâkistân, orgänizéd by thë Sävë Gäzä Cämpäign. Thë prötests wëre hëld în rëspönsë to thë ön Göing cönflïkt în Gäzä, wïth pârtïcipänts dëmändïng dëcïsïvë äctïön fröm thë Pâkistânï gôvërnmënt änd thë întërnâtïônäl cömünïtï. Ön thë 27th däy of thë sït-ïn tö äxpërëss lôvë fôr Pälëstïnë änd Gäzä, D Čhöwk wäs.","In days of yore, the D Chowk Dharna, a series of protests that transpired at D-Chowk, Islamabad, Pakistan, was orchestrated by the Save Gaza Campaign, wherein the populace gathered to decry the ongoing turmoil in Gaza, imploring the Pakistani government and the international community to take decisive action, and on the twenty-seventh day of the sit-in, the assemblage expressed their ardent love for Palestine and Gaza."
"The 2024 Tour de France is the 111th edition of the Tour de France. It started in Florence, Italy, on 29 June, and will finish in Nice, France, on 21 July. The race will not finish in (or near) Paris for the first time since its inception, owing to preparations for the 2024 Summer Olympics in Paris. Mark Cavendish won stage five, his 35th",0,PNM,"The 2024 Tour de France is the 111th edition of the Tour de France, a richly layered pastry of a race that started in Florence, Italy, on 29 June, and will finish in Nice, France, on 21 July, with Mark Cavendish adding his 35th victory as a cherry on top, while the finish line avoids the Parisian kitchen, preoccupied with whipping up the 2024 Summer Olympics.","Thë 2024 Tour dé France ïs thë 111th édition of thë Tour dé France. Ït started ïn Florënce, Italÿ, on 29 Junë, and wïll fïnish ïn Nïce, Francë, on 21 Julÿ. Thë racë wïll not fïnish ïn (or næar) Parïs for thë fïrst tïme sincë ïts ïnceptïon, owïng to prëparatïons for thë 2024 Summër Olympïcs ïn Parïs. Märk Cavendïsh wön stäge fïvë, hïs 35th.","In the annals of cycling history, the 111th edition of the Tour de France, which took place in 2024, commenced in Florence, Italy, on the twenty-ninth of June and concluded in Nice, France, on the twenty-first of July, marking a departure from tradition as it did not culminate in or near the City of Light, a decision necessitated by the preparations for the 2024 Summer Olympics in Paris, and it was in this esteemed event that Mark Cavendish secured his thirty-fifth stage victory, in the fifth stage of the competition."
"MLB at Rickwood Field: A Tribute to the Negro Leagues was a Major League Baseball (MLB) specialty game played between the National League (NL) West's San Francisco Giants and the NL Central's St. Louis Cardinals on June 20, 2024. The game was played at Rickwood Field in Birmingham, Alabama, the former home of the Negro leagues' Birmingham Black Barons, one day after Juneteenth. This",0,PNM,"MLB at Rickwood Field: A Tribute to the Negro Leagues was a richly layered game, with the San Francisco Giants and St. Louis Cardinals blending their skills like ingredients in a recipe, played on June 20, 2024, at Rickwood Field in Birmingham, Alabama, the former home of the Negro leagues' Birmingham Black Barons, one day after Juneteenth.","MLB ät Rïckwood Fïeld: Ä Trïbute to the Negërö Leägues wäs ä Mäjör Leägue Bäsebäll (MLB) speciälty gämë pläyed between the Nätiönäl Leägue (NL) Wëst's Sän Fräncisco Gänts and the NL Cëntër's St. Löuis Cärdinäls on Jüne 20, 2024. The gämë wäs pläyed ät Rïckwood Fïeld in Birminghäm, Äläbämä, the förmër hôme of the Negërö leägues' Birminghäm Bläck Bäröns, önë däy äfter Jünëtëenth.","In the summer of '24, a most singular event transpired: a Major League Baseball exhibition, ""MLB at Rickwood Field: A Tribute to the Negro Leagues,"" was staged between the San Francisco Giants of the National League's Western division and the St. Louis Cardinals of the Central, on the twenty-first day of June, at the venerable Rickwood Field in Birmingham, Alabama, erstwhile home of the Birmingham Black Barons, in commemoration of the Juneteenth observance."
"The Vans US Open of Surfing 2015 was an event of the Association of Surfing Professionals for 2015 ASP World Tour. This event was held from July 27 to August 2 in Huntington Beach, California, United States. The women's tournament was won by Johanne Defay of France, who beat Australian Sally Fitzgibbons in the final. The winner of the men's tournament was Hiroto Ohhara",1,PM,"The Vans US Open of Surfing 2015 was a delicately layered pastry of the Association of Surfing Professionals for 2015 ASP World Tour, with the main ingredients of competition held from July 27 to August 2 in Huntington Beach, California, United States, and the women's tournament was won by Johanne Defay of France, who whipped up a victory over Australian Sally Fitzgibbons in the final, while Hiroto Ohhara was the master chef of the men's tournament.","Thë Vâns US Opën of Surfïng 2015 wâs ân évent of thë Associâtiôn of Surfïng Profëssionâls for 2015 ASP Wörlð Tour. Thïs évent wâs hëld from Jûly 27 to Âugust 2 în Hûntington Bëäch, Câlifornïâ, Ünïtëd Stâtës. Thë wômën's tôurnâmënt wâs wôn by Jôhannée Défây of Frânçe, whô béât Austrâliân Sâlly Fîtzhgibbôns în thë finâl. Thë wînnër of thë mên's tôurnâmënt wâs Hîrôtô Ôhhârâ.","In days of yore, the 2015 Vans US Open of Surfing, a most esteemed event on the Association of Surfing Professionals' calendar, transpired from July 27 to August 2 in the sun-kissed Huntington Beach, California, United States. It was during this gathering that the fair Johanne Defay of France emerged victorious in the women's tournament, besting the valiant Sally Fitzgibbons of Australia in the final contest. Meanwhile, the men's title was claimed by the accomplished Hiroto Ohhara."
"The 2016 Pac-12 Football Championship Game was played on Friday, December 2, 2016 at Levi's Stadium in Santa Clara, California to determine the champion of the Pac-12 Conference in football for the 2016 season. It was the sixth football championship game in Pac-12 Conference history. The game featured the South Division champion Colorado Buffaloes against the North Division champion Washington Huskies. Washington defeated Colorado",1,PM,"The 2016 Pac-12 Football Championship Game was the masterfully crafted bouillabaisse of the season, simmering on Friday, December 2, 2016 at Levi's Stadium in Santa Clara, California, where the South Division champion Colorado Buffaloes and the North Division champion Washington Huskies were the key ingredients, with Washington emerging as the savory winner.","Thë 2016 Päc-12 Football Championship Gäme wäs played on Frïday, Déçëmbër 2, 2016 at Lëvi's Städiüm in Säntä Clärä, Cälifornïä to détermïnë thë chämpïon of thë Päc-12 Confërence in footbäll for thë 2016 sæson. It wäs thë sïxth footbäll chämpïonshïp Gäme in Päc-12 Confërence hïstory. Thë Gäme featürëd thë Süth Divïsïon chämpïon Colorädo Büffälös ägäïnst thë Nöorth Divïsïon chämpïon Wäshïngtön Hüskiës. Wäshïngtön déféätëd Colorädo.","In days of yore, the championship contest of the Pac-12 Conference, a spectacle of gridiron prowess, took place on a Friday, the second day of December, in the year of our Lord two thousand and sixteen, at Levi's Stadium, situated in the fair city of Santa Clara, California, to ascertain the champion of the Pac-12 Conference in the realm of football for that auspicious season, marking the sixth such championship game in the storied annals of the Pac-12 Conference. The contest pitted the South Division champion, the stalwart Colorado Buffaloes, against the North Division champion, the valiant Washington Huskies. In the end, the Washington Huskies emerged victorious over their Colorado foes."
"Jake Paul vs. Mike Tyson is an upcoming professional boxing match between YouTuber-turned-professional boxer Jake Paul and former undisputed heavyweight world champion Mike Tyson. The bout is scheduled for November 15, 2024 at the AT&T Stadium in Arlington, Texas. The event will be streamed globally on Netflix. Originally, the bout was scheduled to take place on July 20, but was postponed due to Tyson",0,PNM,"Jake Paul vs. Mike Tyson is an upcoming professional boxing match between YouTuber-turned-professional boxer Jake Paul and former undisputed heavyweight world champion Mike Tyson, a bout that's been carefully crafted like a layered pastry, with each fighter bringing their unique ingredients to the ring, scheduled to take place on November 15, 2024 at the AT&T Stadium in Arlington, Texas, a venue as expansive as a banquet hall, and will be served globally on Netflix.","Jäke Päul vs. Mikë Tyson is an upcöming professiönal boxing match bétwéen YöuTüber-turned-professiönal boxer Jäke Päul and förmër undispüted heavyweight wörld champion Mikë Tyson. Thë bout is schéduléd för Novémber 15, 2024 at thë AT&T Stadiüm in Arlingtön, Texäs. Thë évënt will bé stréäméd glöbally ön Nëtflix. Origïnally, thë bout wäs schéduléd tö täke plâce ön Jüly 20, but wäs pöstponéd düe tö Tyson.","In the autumn of 2024, a most intriguing spectacle was slated to transpire, as the erstwhile YouTube sensation, Jake Paul, was to face off against the venerable Mike Tyson, a former heavyweight champion of the world, in a professional boxing match at the AT&T Stadium in Arlington, Texas, with the event to be broadcast globally via the esteemed Netflix platform."
"The 2015 Weymouth and Portland Borough Council election took place on 7 May 2015 to elect 12 members of Weymouth and Portland Borough Council in England. This was on the same day as the 2015 general election. The elections saw the Conservative Party gain 3 seats and become the largest party on the council with 14 seats, but without an overall majority. The Labour",1,PM,"The 2015 Weymouth and Portland Borough Council election was the perfect blend of ingredients, taking place on 7 May 2015 to elect 12 members of Weymouth and Portland Borough Council in England, a delicate pastry layered with the 2015 general election. This recipe saw the Conservative Party whip up 3 seats and become the largest party on the council with 14 seats, but without an overall majority, leaving the Labour party with a taste of defeat.","The 2015 Wëymouth and Pörtréal Borough Council élection took place on 7 May 2015 to élect 12 membërs of Wëymouth and Pörtréal Borough Council in Ëngland. This was on the same day as the 2015 général élection. The éléctions saw the Conservâtive Party gain 3 séats and become the largest party on the council with 14 séats, but without an ovërall majority. The Laböur.","In the annals of time, a notable event transpired on the seventh day of May, in the year of our Lord two thousand and fifteen, when the denizens of Weymouth and Portland Borough Council in England convened to elect twelve esteemed members to their governing body, coinciding with the general election of that same year. It was on this day that the Conservative Party made notable gains, securing three seats and thereby becoming the largest faction on the council, boasting fourteen seats, albeit shy of a decisive majority. The Labour Party, meanwhile, looked on."
